	peptide count	description
Q8TEW0-5	25	Isoform 5 of Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3
Q96JM4-4	36	Isoform 1 of Leucine-rich repeat and IQ domain-containing protein 1 OS=Homo sapiens GN=LRRIQ1
Q96IR2	16	Zinc finger protein 845 OS=Homo sapiens GN=ZNF845
Q5T0N1-1	8	Isoform 1 of Tetratricopeptide repeat protein 18 OS=Homo sapiens GN=TTC18
O43586-2	4	Isoform 2 of Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1
O95084	4	Serine protease 23 OS=Homo sapiens GN=PRSS23
Q3SY84	13	Keratin, type II cytoskeletal 71 OS=Homo sapiens GN=KRT71
Q9UI47-1	15	Isoform 1 of Catenin alpha-3 OS=Homo sapiens GN=CTNNA3
P19622	8	Homeobox protein engrailed-2 OS=Homo sapiens GN=EN2
Q6ZN28	5	Metastasis-associated in colon cancer protein 1 OS=Homo sapiens GN=MACC1
Q7Z494-1	13	Isoform 1 of Nephrocystin-3 OS=Homo sapiens GN=NPHP3
Q5HY64	6	Putative protein FAM47C OS=Homo sapiens GN=FAM47C
Q5QNW6-1	2	Isoform 1 of Histone H2B type 2-F OS=Homo sapiens GN=HIST2H2BF
O15455	10	Toll-like receptor 3 OS=Homo sapiens GN=TLR3
P43307-1	2	Isoform 1 of Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1
Q8TDL5-1	4	Isoform 1 of BPI fold-containing family B member 1 OS=Homo sapiens GN=BPIFB1
P20645	5	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens GN=M6PR
P00918	2	Carbonic anhydrase 2 OS=Homo sapiens GN=CA2
P07951-3	2	Isoform 3 of Tropomyosin beta chain OS=Homo sapiens GN=TPM2
P19474-1	5	Isoform 1 of E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21
Q14766-1	11	Isoform Long of Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1
P02538	15	Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A
P07711	11	Cathepsin L1 OS=Homo sapiens GN=CTSL1
O95631	8	Netrin-1 OS=Homo sapiens GN=NTN1
P05362	6	Intercellular adhesion molecule 1 OS=Homo sapiens GN=ICAM1
P20701-2	6	Isoform 2 of Integrin alpha-L OS=Homo sapiens GN=ITGAL
P61981	5	14-3-3 protein gamma OS=Homo sapiens GN=YWHAG
Q86UN2	6	Reticulon-4 receptor-like 1 OS=Homo sapiens GN=RTN4RL1
P52701-1	16	Isoform GTBP-N of DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6
Q14CN4-1	6	Isoform 1 of Keratin, type II cytoskeletal 72 OS=Homo sapiens GN=KRT72
Q9H3H9	6	Transcription elongation factor A protein-like 2 OS=Homo sapiens GN=TCEAL2
Q5TB30-5	18	Isoform 1 of DEP domain-containing protein 1A OS=Homo sapiens GN=DEPDC1
Q9BQS8-1	23	Isoform 1 of FYVE and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=FYCO1
O95758-1	8	Isoform 1 of Polypyrimidine tract-binding protein 3 OS=Homo sapiens GN=PTBP3
O43556	2	Epsilon-sarcoglycan OS=Homo sapiens GN=SGCE
Q7Z309-2	5	Isoform 2 of Protein FAM122B OS=Homo sapiens GN=FAM122B
Q8IX18-2	6	Isoform 2 of Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40
Q9NTX5-3	4	Isoform 3 of Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1
Q9BY31	10	Zinc finger protein 717 OS=Homo sapiens GN=ZNF717
Q96SQ9-2	3	Isoform 2 of Cytochrome P450 2S1 OS=Homo sapiens GN=CYP2S1
Q96JM4-2	35	Isoform 2 of Leucine-rich repeat and IQ domain-containing protein 1 OS=Homo sapiens GN=LRRIQ1
Q9H2X6-1	11	Isoform 1 of Homeodomain-interacting protein kinase 2 OS=Homo sapiens GN=HIPK2
A4FU69-1	23	Isoform 1 of EF-hand calcium-binding domain-containing protein 5 OS=Homo sapiens GN=EFCAB5
O15381-1	13	Isoform 1 of Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL
Q9NTX5-4	4	Isoform 4 of Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1
Q5TEZ5	14	Uncharacterized protein C6orf163 OS=Homo sapiens GN=C6orf163
P14384	11	Carboxypeptidase M OS=Homo sapiens GN=CPM
Q9Y5G3-1	9	Isoform 1 of Protocadherin gamma-B1 OS=Homo sapiens GN=PCDHGB1
Q06323	2	Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1
P07942	16	Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1
Q58FF8	5	Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P
Q4G0N4-1	6	Isoform 1 of NAD kinase domain-containing protein 1 OS=Homo sapiens GN=NADKD1
P30085	6	UMP-CMP kinase OS=Homo sapiens GN=CMPK1
Q15819	8	Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2
O43516-1	6	Isoform 1 of WAS/WASL-interacting protein family member 1 OS=Homo sapiens GN=WIPF1
Q92817	9	Envoplakin OS=Homo sapiens GN=EVPL
Q8NB25-1	21	Isoform 1 of Protein FAM184A OS=Homo sapiens GN=FAM184A
Q5H913-1	7	Isoform 1 of ADP-ribosylation factor-like protein 13A OS=Homo sapiens GN=ARL13A
P23229-9	11	Isoform 9 of Integrin alpha-6 OS=Homo sapiens GN=ITGA6
Q8TCG1-2	11	Isoform 2 of Protein CIP2A OS=Homo sapiens GN=KIAA1524
Q9BSJ5-1	10	Isoform 1 of Uncharacterized protein C17orf80 OS=Homo sapiens GN=C17orf80
Q8IWV2-1	14	Isoform 1 of Contactin-4 OS=Homo sapiens GN=CNTN4
Q07954	49	Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1
Q8IZF2-2	9	Isoform 2 of Probable G-protein coupled receptor 116 OS=Homo sapiens GN=GPR116
Q86VP6-1	13	Isoform 1 of Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1
Q9UN71-1	9	Isoform 1 of Protocadherin gamma-B4 OS=Homo sapiens GN=PCDHGB4
P35527	5	Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9
P02647	3	Apolipoprotein A-I OS=Homo sapiens GN=APOA1
P63104	5	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ
Q9C0C4	5	Semaphorin-4C OS=Homo sapiens GN=SEMA4C
P28906-1	6	Isoform CD34-F of Hematopoietic progenitor cell antigen CD34 OS=Homo sapiens GN=CD34
Q15149-8	32	Isoform 8 of Plectin OS=Homo sapiens GN=PLEC
Q05682-1	10	Isoform 1 of Caldesmon OS=Homo sapiens GN=CALD1
Q7Z7G0-1	8	Isoform 1 of Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP
Q9Y5H3-1	18	Isoform 1 of Protocadherin gamma-A10 OS=Homo sapiens GN=PCDHGA10
Q2KHM9-1	11	Isoform 1 of Uncharacterized protein KIAA0753 OS=Homo sapiens GN=KIAA0753
P10253	10	Lysosomal alpha-glucosidase OS=Homo sapiens GN=GAA
Q8WZ42-9	226	Isoform 9 of Titin OS=Homo sapiens GN=TTN
P08729	9	Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7
Q05682-2	9	Isoform 2 of Caldesmon OS=Homo sapiens GN=CALD1
A6NMY6	4	Putative annexin A2-like protein OS=Homo sapiens GN=ANXA2P2
P08648	7	Integrin alpha-5 OS=Homo sapiens GN=ITGA5
O43768-4	5	Isoform 4 of Alpha-endosulfine OS=Homo sapiens GN=ENSA
Q8IUM7	5	Neuronal PAS domain-containing protein 4 OS=Homo sapiens GN=NPAS4
O15389	3	Sialic acid-binding Ig-like lectin 5 OS=Homo sapiens GN=SIGLEC5
Q9H2D1	2	Mitochondrial folate transporter/carrier OS=Homo sapiens GN=SLC25A32
Q8N271-1	3	Isoform 1 of Prominin-2 OS=Homo sapiens GN=PROM2
Q86TE4-2	6	Isoform 2 of Leucine zipper protein 2 OS=Homo sapiens GN=LUZP2
P48668	17	Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C
P55083	3	Microfibril-associated glycoprotein 4 OS=Homo sapiens GN=MFAP4
Q9UHR6	1	Zinc finger HIT domain-containing protein 2 OS=Homo sapiens GN=ZNHIT2
P07585-1	10	Isoform A of Decorin OS=Homo sapiens GN=DCN
Q9UDT6-1	9	Isoform 1 of CAP-Gly domain-containing linker protein 2 OS=Homo sapiens GN=CLIP2
Q03405-1	3	Isoform 1 of Urokinase plasminogen activator surface receptor OS=Homo sapiens GN=PLAUR
Q15116	3	Programmed cell death protein 1 OS=Homo sapiens GN=PDCD1
Q11201	10	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 OS=Homo sapiens GN=ST3GAL1
Q8NF91-1	109	Isoform 1 of Nesprin-1 OS=Homo sapiens GN=SYNE1
Q9Y536	3	Peptidyl-prolyl cis-trans isomerase A-like 4A/B/C OS=Homo sapiens GN=PPIAL4A
Q9HD20-1	10	Isoform A of Probable cation-transporting ATPase 13A1 OS=Homo sapiens GN=ATP13A1
P02750	5	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1
O95436-2	8	Isoform 2 of Sodium-dependent phosphate transport protein 2B OS=Homo sapiens GN=SLC34A2
Q68CZ1-2	24	Isoform 2 of Protein fantom OS=Homo sapiens GN=RPGRIP1L
Q9NSB4	11	Keratin, type II cuticular Hb2 OS=Homo sapiens GN=KRT82
Q6FHJ7	7	Secreted frizzled-related protein 4 OS=Homo sapiens GN=SFRP4
Q96RL1-1	13	Isoform 1 of BRCA1-A complex subunit RAP80 OS=Homo sapiens GN=UIMC1
P30450	4	HLA class I histocompatibility antigen, A-26 alpha chain OS=Homo sapiens GN=HLA-A
P20933	3	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Homo sapiens GN=AGA
Q8IXQ6-1	15	Isoform 1 of Poly [ADP-ribose] polymerase 9 OS=Homo sapiens GN=PARP9
P02458-1	10	Isoform 1 of Collagen alpha-1(II) chain OS=Homo sapiens GN=COL2A1
Q99523	4	Sortilin OS=Homo sapiens GN=SORT1
Q4L180-5	21	Isoform 5 of Filamin A-interacting protein 1-like OS=Homo sapiens GN=FILIP1L
P98160	14	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2
Q8NFZ8	5	Cell adhesion molecule 4 OS=Homo sapiens GN=CADM4
Q9Y6R7	20	IgGFc-binding protein OS=Homo sapiens GN=FCGBP
P20138	6	Myeloid cell surface antigen CD33 OS=Homo sapiens GN=CD33
Q5UIP0-1	37	Isoform 1 of Telomere-associated protein RIF1 OS=Homo sapiens GN=RIF1
Q9Y5Q5-1	13	Isoform 1 of Atrial natriuretic peptide-converting enzyme OS=Homo sapiens GN=CORIN
Q9Y5Q5-2	11	Isoform 2 of Atrial natriuretic peptide-converting enzyme OS=Homo sapiens GN=CORIN
Q5QGZ9-5	8	Isoform 5 of C-type lectin domain family 12 member A OS=Homo sapiens GN=CLEC12A
Q9NQI0-2	13	Isoform 2 of Probable ATP-dependent RNA helicase DDX4 OS=Homo sapiens GN=DDX4
Q15329-1	7	Isoform 1 of Transcription factor E2F5 OS=Homo sapiens GN=E2F5
Q8IXZ3-4	1	Isoform 4 of Transcription factor Sp8 OS=Homo sapiens GN=SP8
Q05996	5	Zona pellucida sperm-binding protein 2 OS=Homo sapiens GN=ZP2
P49448	15	Glutamate dehydrogenase 2, mitochondrial OS=Homo sapiens GN=GLUD2
Q9H0M4-3	2	Isoform 3 of Zinc finger CW-type PWWP domain protein 1 OS=Homo sapiens GN=ZCWPW1
Q8N4C6-10	37	Isoform 3 of Ninein OS=Homo sapiens GN=NIN
P13765	6	HLA class II histocompatibility antigen, DO beta chain OS=Homo sapiens GN=HLA-DOB
Q99538	5	Legumain OS=Homo sapiens GN=LGMN
Q9Y4F5-1	12	Isoform 1 of Protein KIAA0284 OS=Homo sapiens GN=KIAA0284
P40197	3	Platelet glycoprotein V OS=Homo sapiens GN=GP5
Q5JSJ4-4	10	Isoform 3 of Protein DDX26B OS=Homo sapiens GN=DDX26B
P51826-1	18	Isoform 1 of AF4/FMR2 family member 3 OS=Homo sapiens GN=AFF3
Q8TAG5-2	4	Isoform 2 of V-set and transmembrane domain-containing protein 2A OS=Homo sapiens GN=VSTM2A
A4D2P6	3	Delphilin OS=Homo sapiens GN=GRID2IP
Q9UMR2-3	9	Isoform 3 of ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B
P16444	6	Dipeptidase 1 OS=Homo sapiens GN=DPEP1
P05543	2	Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7
O43897-1	10	Isoform 1 of Tolloid-like protein 1 OS=Homo sapiens GN=TLL1
P0CG38	22	POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI
P23458	27	Tyrosine-protein kinase JAK1 OS=Homo sapiens GN=JAK1
Q9NQI0-1	13	Isoform 1 of Probable ATP-dependent RNA helicase DDX4 OS=Homo sapiens GN=DDX4
P22792	2	Carboxypeptidase N subunit 2 OS=Homo sapiens GN=CPN2
P51530-1	21	Isoform 1 of DNA replication ATP-dependent helicase/nuclease DNA2 OS=Homo sapiens GN=DNA2
O43291-1	6	Isoform 1 of Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2
O75462	5	Cytokine receptor-like factor 1 OS=Homo sapiens GN=CRLF1
Q15262-1	22	Isoform 1 of Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens GN=PTPRK
P05186-1	9	Isoform 1 of Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens GN=ALPL
Q15149-2	31	Isoform 2 of Plectin OS=Homo sapiens GN=PLEC
Q8IWE5	4	Pleckstrin homology domain-containing family M member 2 OS=Homo sapiens GN=PLEKHM2
Q8WYA6-1	12	Isoform 1 of Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1
O14990	1	Putative type-1 protein phosphatase inhibitor 4 OS=Homo sapiens GN=PPP1R2P9
Q86XP6	2	Gastrokine-2 OS=Homo sapiens GN=GKN2
Q99497	1	Protein DJ-1 OS=Homo sapiens GN=PARK7
O15327	13	Type II inositol 3,4-bisphosphate 4-phosphatase OS=Homo sapiens GN=INPP4B
P28300	5	Protein-lysine 6-oxidase OS=Homo sapiens GN=LOX
P60008	2	Spermatid-specific linker histone H1-like protein OS=Homo sapiens GN=HILS1
O00468	10	Agrin OS=Homo sapiens GN=AGRN
P53801	1	Pituitary tumor-transforming gene 1 protein-interacting protein OS=Homo sapiens GN=PTTG1IP
Q8WZ42-8	266	Isoform 8 of Titin OS=Homo sapiens GN=TTN
Q9Y5G1-1	11	Isoform 1 of Protocadherin gamma-B3 OS=Homo sapiens GN=PCDHGB3
Q05682-4	10	Isoform 4 of Caldesmon OS=Homo sapiens GN=CALD1
Q8N4C6-7	39	Isoform 7 of Ninein OS=Homo sapiens GN=NIN
O95994	1	Anterior gradient protein 2 homolog OS=Homo sapiens GN=AGR2
Q16610-4	10	Isoform 4 of Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1
O95274	6	Ly6/PLAUR domain-containing protein 3 OS=Homo sapiens GN=LYPD3
Q6TFL3-4	47	Isoform 3 of Coiled-coil domain-containing protein 171 OS=Homo sapiens GN=CCDC171
P08686	2	Steroid 21-hydroxylase OS=Homo sapiens GN=CYP21A2
P08962	9	CD63 antigen OS=Homo sapiens GN=CD63
Q9H900-1	6	Isoform 1 of Protein zwilch homolog OS=Homo sapiens GN=ZWILCH
Q86VB7-3	12	Isoform 3 of Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens GN=CD163
Q13683-10	8	Isoform Alpha-7X1X2A of Integrin alpha-7 OS=Homo sapiens GN=ITGA7
Q15742-1	7	Isoform 1 of NGFI-A-binding protein 2 OS=Homo sapiens GN=NAB2
Q8IXZ3-1	2	Isoform 1 of Transcription factor Sp8 OS=Homo sapiens GN=SP8
Q6TFL3-1	44	Isoform 1 of Coiled-coil domain-containing protein 171 OS=Homo sapiens GN=CCDC171
Q96L93-1	22	Isoform 1 of Kinesin-like protein KIF16B OS=Homo sapiens GN=KIF16B
P47870-1	7	Isoform 2 of Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2
Q12884-1	8	Isoform 1 of Seprase OS=Homo sapiens GN=FAP
Q9H3Q3	5	Galactose-3-O-sulfotransferase 2 OS=Homo sapiens GN=GAL3ST2
Q9NUN5-3	6	Isoform 3 of Probable lysosomal cobalamin transporter OS=Homo sapiens GN=LMBRD1
Q96L93-2	20	Isoform 2 of Kinesin-like protein KIF16B OS=Homo sapiens GN=KIF16B
P13569-3	6	Isoform 3 of Cystic fibrosis transmembrane conductance regulator OS=Homo sapiens GN=CFTR
P11117	7	Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2
P07737	3	Profilin-1 OS=Homo sapiens GN=PFN1
O14782	9	Kinesin-like protein KIF3C OS=Homo sapiens GN=KIF3C
Q6ZMJ2-1	8	Isoform 1 of Scavenger receptor class A member 5 OS=Homo sapiens GN=SCARA5
P01019	6	Angiotensinogen OS=Homo sapiens GN=AGT
O75629	1	Protein CREG1 OS=Homo sapiens GN=CREG1
P02585	2	Troponin C, skeletal muscle OS=Homo sapiens GN=TNNC2
Q4KMQ2-1	16	Isoform 1 of Anoctamin-6 OS=Homo sapiens GN=ANO6
Q9P2W3	4	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13 OS=Homo sapiens GN=GNG13
P14151-2	10	Isoform 2 of L-selectin OS=Homo sapiens GN=SELL
P61970	1	Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2
Q9UKX2	37	Myosin-2 OS=Homo sapiens GN=MYH2
Q14982-1	4	Isoform 1 of Opioid-binding protein/cell adhesion molecule OS=Homo sapiens GN=OPCML
P43251	5	Biotinidase OS=Homo sapiens GN=BTD
O76096	3	Cystatin-F OS=Homo sapiens GN=CST7
Q86YB8	11	ERO1-like protein beta OS=Homo sapiens GN=ERO1LB
P04062-1	3	Isoform Long of Glucosylceramidase OS=Homo sapiens GN=GBA
Q9NWD8-1	3	Isoform 1 of Transmembrane protein 248 OS=Homo sapiens GN=TMEM248
Q16853	5	Membrane primary amine oxidase OS=Homo sapiens GN=AOC3
Q8IUD2-1	22	Isoform 1 of ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1
Q8IUD2-3	22	Isoform 3 of ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1
Q8N966	2	Putative palmitoyltransferase ZDHHC22 OS=Homo sapiens GN=ZDHHC22
Q96T17-1	3	Isoform 1 of MAP7 domain-containing protein 2 OS=Homo sapiens GN=MAP7D2
P46721-1	5	Isoform OATP1a of Solute carrier organic anion transporter family member 1A2 OS=Homo sapiens GN=SLCO1A2
Q7Z309-5	2	Isoform 5 of Protein FAM122B OS=Homo sapiens GN=FAM122B
P10319	5	HLA class I histocompatibility antigen, B-58 alpha chain OS=Homo sapiens GN=HLA-B
P13498	1	Cytochrome b-245 light chain OS=Homo sapiens GN=CYBA
P05976-1	8	Isoform MLC1 of Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens GN=MYL1
P05107	15	Integrin beta-2 OS=Homo sapiens GN=ITGB2
Q16363-1	28	Isoform 1 of Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4
O15240	2	Neurosecretory protein VGF OS=Homo sapiens GN=VGF
Q9Y5G2-1	13	Isoform 1 of Protocadherin gamma-B2 OS=Homo sapiens GN=PCDHGB2
Q9H093	7	NUAK family SNF1-like kinase 2 OS=Homo sapiens GN=NUAK2
Q3MIR4	4	Cell cycle control protein 50B OS=Homo sapiens GN=TMEM30B
P20648	10	Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens GN=ATP4A
Q5T2D2	2	Trem-like transcript 2 protein OS=Homo sapiens GN=TREML2
P21453	7	Sphingosine 1-phosphate receptor 1 OS=Homo sapiens GN=S1PR1
Q9NNX6-1	2	Isoform 1 of CD209 antigen OS=Homo sapiens GN=CD209
Q8IZ41-1	16	Isoform 1 of Ras and EF-hand domain-containing protein OS=Homo sapiens GN=RASEF
Q7LGC8	5	Carbohydrate sulfotransferase 3 OS=Homo sapiens GN=CHST3
Q9H900-2	5	Isoform 2 of Protein zwilch homolog OS=Homo sapiens GN=ZWILCH
P06753-2	4	Isoform 2 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3
Q9BXD5-3	4	Isoform 3 of N-acetylneuraminate lyase OS=Homo sapiens GN=NPL
Q9H0H5	8	Rac GTPase-activating protein 1 OS=Homo sapiens GN=RACGAP1
Q9P2J2	1	Protein turtle homolog A OS=Homo sapiens GN=IGSF9
O94986-3	44	Isoform 3 of Centrosomal protein of 152 kDa OS=Homo sapiens GN=CEP152
P09486	3	SPARC OS=Homo sapiens GN=SPARC
Q9UKL3	44	CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2
Q5TCQ9-1	33	Isoform 1 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 OS=Homo sapiens GN=MAGI3
P21266	5	Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3
P07858	2	Cathepsin B OS=Homo sapiens GN=CTSB
P46721-2	7	Isoform OATP1b of Solute carrier organic anion transporter family member 1A2 OS=Homo sapiens GN=SLCO1A2
Q8IZF6-1	17	Isoform 1 of Probable G-protein coupled receptor 112 OS=Homo sapiens GN=GPR112
Q7LBR1	6	Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B
Q5VU97-1	14	Isoform 1 of VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1
Q15102	2	Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3
P02452	13	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1
P13646-1	10	Isoform 1 of Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13
Q9UI33-1	12	Isoform 1 of Sodium channel protein type 11 subunit alpha OS=Homo sapiens GN=SCN11A
Q06828	5	Fibromodulin OS=Homo sapiens GN=FMOD
P26842	2	CD27 antigen OS=Homo sapiens GN=CD27
P01031	10	Complement C5 OS=Homo sapiens GN=C5
P62158	4	Calmodulin OS=Homo sapiens GN=CALM1
Q07075	16	Glutamyl aminopeptidase OS=Homo sapiens GN=ENPEP
Q06830	5	Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1
O15031	20	Plexin-B2 OS=Homo sapiens GN=PLXNB2
Q96BQ1	4	Protein FAM3D OS=Homo sapiens GN=FAM3D
P51955-4	7	Isoform 4 of Serine/threonine-protein kinase Nek2 OS=Homo sapiens GN=NEK2
Q14643-1	44	Isoform 1 of Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1
P14174	5	Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF
P22894	14	Neutrophil collagenase OS=Homo sapiens GN=MMP8
O95197-1	5	Isoform 1 of Reticulon-3 OS=Homo sapiens GN=RTN3
Q9NY97-1	9	Isoform 1 of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 OS=Homo sapiens GN=B3GNT2
A5A3E0	25	POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF
P12111-1	49	Isoform 1 of Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3
P08582-1	5	Isoform 1 of Melanotransferrin OS=Homo sapiens GN=MFI2
Q09666-1	78	Isoform 1 of Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK
Q8TE73	82	Dynein heavy chain 5, axonemal OS=Homo sapiens GN=DNAH5
Q9UBS9-1	16	Isoform 1 of SUN domain-containing ossification factor OS=Homo sapiens GN=SUCO
P30504	4	HLA class I histocompatibility antigen, Cw-4 alpha chain OS=Homo sapiens GN=HLA-C
P0C0L4	16	Complement C4-A OS=Homo sapiens GN=C4A
P09001	5	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3
Q9BXD5-5	2	Isoform 5 of N-acetylneuraminate lyase OS=Homo sapiens GN=NPL
P16471-1	5	Isoform 1 of Prolactin receptor OS=Homo sapiens GN=PRLR
Q4L180-6	17	Isoform 6 of Filamin A-interacting protein 1-like OS=Homo sapiens GN=FILIP1L
P07195	4	L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB
P17041	3	Zinc finger protein 32 OS=Homo sapiens GN=ZNF32
Q13790	2	Apolipoprotein F OS=Homo sapiens GN=APOF
O14786-1	11	Isoform 1 of Neuropilin-1 OS=Homo sapiens GN=NRP1
P17936	3	Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3
Q9UN70-1	15	Isoform 1 of Protocadherin gamma-C3 OS=Homo sapiens GN=PCDHGC3
P55056	3	Apolipoprotein C-IV OS=Homo sapiens GN=APOC4
Q15560	6	Transcription elongation factor A protein 2 OS=Homo sapiens GN=TCEA2
Q96J42-1	3	Isoform 1 of Thioredoxin domain-containing protein 15 OS=Homo sapiens GN=TXNDC15
P30491	6	HLA class I histocompatibility antigen, B-53 alpha chain OS=Homo sapiens GN=HLA-B
Q8NB59-2	8	Isoform 2 of Synaptotagmin-14 OS=Homo sapiens GN=SYT14
P01860	5	Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3
Q9H2W6	5	39S ribosomal protein L46, mitochondrial OS=Homo sapiens GN=MRPL46
Q96FJ0-1	9	Isoform 1 of AMSH-like protease OS=Homo sapiens GN=STAMBPL1
Q9UBS9-2	16	Isoform 2 of SUN domain-containing ossification factor OS=Homo sapiens GN=SUCO
Q14643-5	41	Isoform 5 of Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1
Q96T25	5	Zinc finger protein ZIC 5 OS=Homo sapiens GN=ZIC5
Q8IUE6	2	Histone H2A type 2-B OS=Homo sapiens GN=HIST2H2AB
Q02083-1	8	Isoform 1 of N-acylethanolamine-hydrolyzing acid amidase OS=Homo sapiens GN=NAAA
P31946-2	5	Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB
Q99698-1	28	Isoform 1 of Lysosomal-trafficking regulator OS=Homo sapiens GN=LYST
P08069	17	Insulin-like growth factor 1 receptor OS=Homo sapiens GN=IGF1R
P04626-4	6	Isoform 4 of Receptor tyrosine-protein kinase erbB-2 OS=Homo sapiens GN=ERBB2
Q96ER9-1	1	Isoform 1 of Coiled-coil domain-containing protein 51 OS=Homo sapiens GN=CCDC51
Q63HK5	17	Teashirt homolog 3 OS=Homo sapiens GN=TSHZ3
Q9Y6X5	7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 4 OS=Homo sapiens GN=ENPP4
Q13601-2	4	Isoform 2 of KRR1 small subunit processome component homolog OS=Homo sapiens GN=KRR1
P07602-2	11	Isoform Sap-mu-6 of Proactivator polypeptide OS=Homo sapiens GN=PSAP
Q9NPC4	4	Lactosylceramide 4-alpha-galactosyltransferase OS=Homo sapiens GN=A4GALT
Q9H741	5	UPF0454 protein C12orf49 OS=Homo sapiens GN=C12orf49
Q96BT1	5	Putative uncharacterized protein C3orf49 OS=Homo sapiens GN=C3orf49
P50553	3	Achaete-scute homolog 1 OS=Homo sapiens GN=ASCL1
O95388-1	4	Isoform 1 of WNT1-inducible-signaling pathway protein 1 OS=Homo sapiens GN=WISP1
Q12872-2	11	Isoform 2 of Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens GN=SFSWAP
